StateID	ParentID	PerturbationID	N_species	frequency	Bacteroidaceae	Akkermansiaceae	Lachnospiraceae	Sutterellaceae	Porphyromonadaceae	Prevotellaceae	Acidaminococcaceae	Ruminococcaceae	Enterobacteriaceae	Desulfovibrionaceae	Erysipelotrichaceae	Rikenellaceae	Barnesiellaceae	Erysipelatoclostridiaceae	Clostridiales_Incertae_Sedis_XIII
6	1	2	14	0.897778	6.90621e+07	3.8704e+07	7.73233e+06	9.76752e+06	0	9071.91	37388.7	1.63519e+06	27170.2	25215.2	1.0434e+06	439957	1663.36	170461	7997.61
7	1	2	14	0.937778	6.90306e+07	3.87489e+07	7.79339e+06	9.74878e+06	5.60523e+06	0	37564.4	1.40599e+06	27272.1	25338	1.03657e+06	436464	1674.13	169600	7985.91
8	1	2	14	0.92	6.90936e+07	3.89339e+07	7.76923e+06	9.74878e+06	5.58502e+06	9055.53	0	1.40599e+06	27297.7	25338	1.03657e+06	437317	1683.77	169600	7985.91
9	1	2	14	0.92	6.90306e+07	3.87489e+07	7.69544e+06	9.75164e+06	5.58502e+06	9055.53	37526	0	27272.1	25338	1.05413e+06	436791	1674.13	170132	7993.56
10	1	2	14	0.915556	6.90621e+07	3.88414e+07	7.73233e+06	9.75021e+06	5.59513e+06	9071.91	37502.8	1.40745e+06	0	25310.9	1.03845e+06	437054	1676.73	169866	7989.73
11	1	2	14	0.942222	6.89211e+07	3.91294e+07	7.84241e+06	9.71907e+06	5.60873e+06	9071.91	37558.3	1.41503e+06	27284.9	0	1.0434e+06	436628	1663.36	169301	7989.73
12	1	2	14	0.915556	6.90621e+07	3.88414e+07	7.73233e+06	9.75021e+06	5.59513e+06	9071.91	37502.8	1.40745e+06	27284.9	25310.9	0	437054	1676.73	169866	7989.73
13	1	2	14	0.915556	6.90621e+07	3.88414e+07	7.73233e+06	9.75021e+06	5.59513e+06	9071.91	37502.8	1.40745e+06	27284.9	25310.9	1.03845e+06	0	1676.73	169866	7989.73
14	1	2	14	0.92	6.90936e+07	3.89339e+07	7.76923e+06	9.74878e+06	5.58502e+06	9055.53	37479.6	1.40599e+06	27297.7	25338	1.03657e+06	437317	0	169600	7985.91
15	1	2	14	0.915556	6.90621e+07	3.88414e+07	7.73233e+06	9.75021e+06	5.59513e+06	9071.91	37502.8	1.40745e+06	27284.9	25310.9	1.03845e+06	437054	1676.73	0	7989.73
16	1	2	14	0.96	6.87927e+07	3.85456e+07	1.31768e+07	9.78355e+06	5.59513e+06	9049.96	37558.3	1.63519e+06	27226.8	25480.3	1.01269e+06	436041	1680.83	169301	0
